,matching_id,pmid,title,journal,journal_short,year,month,day,section,subsection,role,predictprob,cancer_id,cancer_name,cancer_normalized,cancer_start,cancer_end,gene_hugo_id,gene_entrez_id,gene_name,gene_normalized,gene_start,gene_end,sentence,formatted_sentence
16656,9eb6448e78c96c6cb8d5790569211d1a,32282230,Reliable Analysis of Clinical Tumor-Only Whole-Exome Sequencing Data,JCO Clinical Cancer Informatics,JCO Clinical Cancer Informatics,2020,4.0,13.0,article,results,Driver,0.9526684178775994,DOID:3910,LUAD,lung adenocarcinoma,13,17,HGNC:11998,7157,TP53,TP53,39,43,"Well-defined LUAD driver genes such as TP53, KRAS, KEAP1, and STK11 were called in both tumor-only and paired analyses.","Well-defined <b>LUAD</b> driver genes such as <b>TP53</b>, KRAS, KEAP1, and STK11 were called in both tumor-only and paired analyses."
16926,9eb6448e78c96c6cb8d5790569211d1a,32341654,Rationale for Lung Adenocarcinoma Prevention and Drug Development Based on Molecular Biology During Carcinogenesis,OncoTargets and therapy,OncoTargets and therapy,2020,4.0,14.0,article,introduction,Driver,0.8621563105905935,DOID:3910,LUAD,lung adenocarcinoma,150,154,HGNC:11998,7157,TP53,TP53,201,205,"The mutational landscape of early-stage LUAD has been investigated by multiple studies: EGFR, TP53, KRAS, STK11, and NF1 are substantially mutated in LUAD, and driver mutations in EGFR, BRAF, MET, and TP53 are almost always clonal, with acquired mutations directly linked to patient prognosis.","The mutational landscape of early-stage LUAD has been investigated by multiple studies: EGFR, TP53, KRAS, STK11, and NF1 are substantially mutated in <b>LUAD</b>, and driver mutations in EGFR, BRAF, MET, and <b>TP53</b> are almost always clonal, with acquired mutations directly linked to patient prognosis."
17265,fab4a772f19b80537baf04062446f9e1,31917898,CircRNA CDR1as knockdown inhibits progression of non-small-cell lung cancer by regulating miR-219a-5p/SOX5 axis,Thoracic Cancer,Thoracic Cancer,2020,3.0,9.0,article,results,Oncogene,0.9808247459930064,DOID:3908,NSCLC,lung non-small cell carcinoma,136,141,HGNC:11201,6660,SOX5,SOX5,115,119,"As the function of miRNA is to mediate the targeted mRNAs, the targets of miR-219a-5p were explored by TargetScan. SOX5, an oncogene in NSCLC, is shown with the potential binding sites of miR-219a-5p (Fig 5 a).","As the function of miRNA is to mediate the targeted mRNAs, the targets of miR-219a-5p were explored by TargetScan. <b>SOX5</b>, an oncogene in <b>NSCLC</b>, is shown with the potential binding sites of miR-219a-5p (Fig 5 a)."
17358,8e390ed2997c32b925dba06cfbfc21cf,32104289,FKBP51 induces p53-dependent apoptosis and enhances drug sensitivity of human non-small-cell lung cancer cells,Experimental and Therapeutic Medicine,Experimental and Therapeutic Medicine,2020,1.0,14.0,article,introduction,Tumor_Suppressor,0.950451719496983,DOID:3908,NSCLC,lung non-small cell carcinoma,30,35,HGNC:11998,7157,p53,TP53,85,88,Up to 50-80% of patients with NSCLC exhibit inactivation or loss of tumor suppressor p53.,Up to 50-80% of patients with <b>NSCLC</b> exhibit inactivation or loss of tumor suppressor <b>p53</b>.
17477,9eb6448e78c96c6cb8d5790569211d1a,31999917,Lung Cancer Staging and Associated Genetic and Epigenetic Events,Molecules and Cells,Molecules and Cells,2020,1.0,17.0,article,,Driver,0.9561227757019384,DOID:3910,LUAD,lung adenocarcinoma,91,95,HGNC:11998,7157,TP53,TP53,31,35,"Alterations of EGFR, KRAS, and TP53 have been confirmed as significant driver mutations of LUAD in many studies.","Alterations of EGFR, KRAS, and <b>TP53</b> have been confirmed as significant driver mutations of <b>LUAD</b> in many studies."
17479,9eb6448e78c96c6cb8d5790569211d1a,31999917,Lung Cancer Staging and Associated Genetic and Epigenetic Events,Molecules and Cells,Molecules and Cells,2020,1.0,17.0,article,,Driver,0.8783150123785732,DOID:3910,LUAD,lung adenocarcinoma,38,42,HGNC:11998,7157,TP53,TP53,98,102,"As shown in Table 3, not all cases of LUAD have a driver mutation in genes such as EGFR, KRAS, or TP53, although the frequency of driver mutations increases with stage.","As shown in Table 3, not all cases of <b>LUAD</b> have a driver mutation in genes such as EGFR, KRAS, or <b>TP53</b>, although the frequency of driver mutations increases with stage."
18472,920bee1be548a1382fbb721b2fc47b4a,31516572,"Non-invasive detection of EGFR and TP53 mutations through the combination of plasma, urine and sputum in advanced non-small cell lung cancer",Oncology Letters,Oncology Letters,2019,8.0,6.0,article,introduction,Oncogene,0.7996850663049985,DOID:3908,NSCLC,lung non-small cell carcinoma,129,134,HGNC:11998,7157,p53 (TP53),TP53,75,85,"Furthermore, alterations in driver genes, including cellular tumor antigen p53 (TP53), are associated with treatment efficacy in NSCLC.","Furthermore, alterations in driver genes, including cellular tumor antigen <b>p53 (TP53)</b>, are associated with treatment efficacy in <b>NSCLC</b>."
18664,b1dbfeb2a92ae52f1ba0e486ee199f80,31452774,MicroRNA-545 targets ZEB2 to inhibit the development of non-small cell lung cancer by inactivating Wnt/β-catenin pathway,Oncology Letters,Oncology Letters,2019,7.0,15.0,article,discussion,Oncogene,0.8472906858945651,DOID:3908,NSCLC,lung non-small cell carcinoma,128,133,HGNC:14881,9839,ZEB2,ZEB2,35,39,Previous studies have implied that ZEB2 was a vital oncogene which contributed to the progression of multiple cancers including NSCLC.,Previous studies have implied that <b>ZEB2</b> was a vital oncogene which contributed to the progression of multiple cancers including <b>NSCLC</b>.
19671,9eb6448e78c96c6cb8d5790569211d1a,30087028,"Phase 1B Study of Momelotinib Combined With Trametinib in Metastatic, Kirsten Rat Sarcoma Viral Oncogene Homolog-Mutated None-Small-Cell Lung Cancer After Platinum-Based Chemotherapy Treatment Failure",Clinical lung cancer,Clinical lung cancer,2019,3.0,16.0,article,introduction,Driver,0.9722102582284988,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,105,124,HGNC:11998,7157,p53,TP53,153,156,"Moreover, the combination of momelotinib with a MEK inhibitor induced regression of an aggressive murine lung adenocarcinoma driven by KRAS mutation and p53 loss.","Moreover, the combination of momelotinib with a MEK inhibitor induced regression of an aggressive murine <b>lung adenocarcinoma</b> driven by KRAS mutation and <b>p53</b> loss."
19819,6f8dc34b264b12e59a305b4c075dbfa1,30628683,Epigallocatechin-3-gallate modulates long non-coding RNA and mRNA expression profiles in lung cancer cells,Molecular Medicine Reports,Molecular Medicine Reports,2019,1.0,3.0,floating,,Tumor_Suppressor,0.9785347044358316,DOID:3908,NSCLC,lung non-small cell carcinoma,146,151,HGNC:21449,80760,ITIH5,ITIH5,91,96,"ITIH5 mRNA expression was significantly decreased in NSCLC compared to normal lung tissue, ITIH5 may be a novel putative tumor suppressor gene in NSCLC","ITIH5 mRNA expression was significantly decreased in NSCLC compared to normal lung tissue, <b>ITIH5</b> may be a novel putative tumor suppressor gene in <b>NSCLC</b>"
20683,67be1f611ae3e80440a8fbd853cb83ae,30244652,Liquid Biopsy Promotes Non-Small Cell Lung Cancer Precision Therapy,Technology in Cancer Research & Treatment,Technology in Cancer Research & Treatment,2018,9.0,24.0,article,introduction,Driver,0.815088588979678,DOID:3908,NSCLC,lung non-small cell carcinoma,9,14,HGNC:11998,7157,TP53,TP53,72,76,"To date, NSCLC is divided into multiple driver gene subtypes, including TP53, ROS1, KRAS, EGFR, LKB1, ALK, MET, FGFR, PTEN, PIK3CA, CCGA, RB1.","To date, <b>NSCLC</b> is divided into multiple driver gene subtypes, including <b>TP53</b>, ROS1, KRAS, EGFR, LKB1, ALK, MET, FGFR, PTEN, PIK3CA, CCGA, RB1."
21493,fab4a772f19b80537baf04062446f9e1,29499929,Inhibition of TDP43-Mediated SNHG12-miR-195-SOX5 Feedback Loop Impeded Malignant Biological Behaviors of Glioma Cells,Molecular Therapy. Nucleic Acids,Molecular Therapy. Nucleic Acids,2017,12.0,8.0,article,discussion,Oncogene,0.9486086142191406,DOID:3908,NSCLC,lung non-small cell carcinoma,66,71,HGNC:11201,6660,SOX5,SOX5,15,19,"In most cases, SOX5 acts as an oncogene in various tumors such as NSCLC, hepatocellular carcinoma, and glioma.","In most cases, <b>SOX5</b> acts as an oncogene in various tumors such as <b>NSCLC</b>, hepatocellular carcinoma, and glioma."
22497,dc907d26606cf66d8aa3afab2ca7924a,28454307,miR-141 promotes colon cancer cell proliferation by inhibiting MAP2K4,Oncology Letters,Oncology Letters,2017,1.0,26.0,article,discussion,Oncogene,0.809518885813221,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,404,423,HGNC:11998,7157,tumor protein p53 (TP53),TP53,293,317,"By systematically characterizing the biochemical properties of a large panel of cancer-associated MAP2K4 mutations, Ahn et al examined the consequences of MAP2K4 inactivation in genetically engineered mouse models of human lung cancer driven by mutant KRAS alone or in combination with mutant tumor protein p53 (TP53), and profiled transcriptional changes induced by MAP2K4 depletion in KRAS/TP53-mutant lung adenocarcinoma cells.","By systematically characterizing the biochemical properties of a large panel of cancer-associated MAP2K4 mutations, Ahn et al examined the consequences of MAP2K4 inactivation in genetically engineered mouse models of human lung cancer driven by mutant KRAS alone or in combination with mutant <b>tumor protein p53 (TP53)</b>, and profiled transcriptional changes induced by MAP2K4 depletion in KRAS/TP53-mutant <b>lung adenocarcinoma</b> cells."
23014,8e390ed2997c32b925dba06cfbfc21cf,29795057,Identification of Biological Targets of Therapeutic Intervention for Hepatocellular Carcinoma by Integrated Bioinformatical Analysis,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,Medical Science Monitor : International Medical Jo...,2018,5.0,24.0,article,discussion,Tumor_Suppressor,0.9433524956037412,DOID:3908,non-small-cell lung carcinoma,lung non-small cell carcinoma,274,303,HGNC:11998,7157,TP53,TP53,182,186,"Evidence also indicates that EGR1 inhibits cell growth, proliferation, and metastasis, and induces apoptosis via directly or indirectly upregulating multiple tumor suppressors PTEN, TP53, fibronectin, BCL-2, and TGFβ1, which act as a tumor repressor and tumor suppressor in non-small-cell lung carcinoma by regulating KRT18 expression.","Evidence also indicates that EGR1 inhibits cell growth, proliferation, and metastasis, and induces apoptosis via directly or indirectly upregulating multiple tumor suppressors PTEN, <b>TP53</b>, fibronectin, BCL-2, and TGFβ1, which act as a tumor repressor and tumor suppressor in <b>non-small-cell lung carcinoma</b> by regulating KRT18 expression."
23974,920bee1be548a1382fbb721b2fc47b4a,26910134,The application of mathematical modelling to the design of bispecific monoclonal antibodies,mAbs,mAbs,2016,2.0,24.0,article,materials and methods,Oncogene,0.7978670259175172,DOID:3908,non-small cell lung carcinoma,lung non-small cell carcinoma,26,55,HGNC:11998,7157,p53,TP53,147,150,"For example, the NCI-H358 non-small cell lung carcinoma cell line is known to harbor a mutation in the Kras oncogene, as well as a deletion in the p53 tumor suppressor gene.","For example, the NCI-H358 <b>non-small cell lung carcinoma</b> cell line is known to harbor a mutation in the Kras oncogene, as well as a deletion in the <b>p53</b> tumor suppressor gene."
26058,9eb6448e78c96c6cb8d5790569211d1a,23986650,The role of epithelial-mesenchymal transition programming in invasion andmetastasis: a clinical perspective,Cancer Management and Research,Cancer Management and Research,2013,7.0,31.0,article,introduction,Driver,0.9277812531744536,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,62,81,HGNC:11998,7157,Tp53,TP53,110,114,"In our own studies, we have made use of a mouse modelof human lung adenocarcinoma, driven by mutant K-ras and Tp53 ,where the tumors metastasize to sites commonly involved in lung cancer patients, and wheremetastasis is driven entirely by repression of the miR-200 family.","In our own studies, we have made use of a mouse modelof human <b>lung adenocarcinoma</b>, driven by mutant K-ras and <b>Tp53</b> ,where the tumors metastasize to sites commonly involved in lung cancer patients, and wheremetastasis is driven entirely by repression of the miR-200 family."
26942,8e390ed2997c32b925dba06cfbfc21cf,19900972,HLungDB: an integrated database of human lung cancer research,Nucleic Acids Research,Nucleic Acids Research,2009,11.0,7.0,article,introduction,Tumor_Suppressor,0.9571789306093628,DOID:3908,NSCLC,lung non-small cell carcinoma,110,115,HGNC:11998,7157,p53,TP53,4,7,"The p53 tumor suppressor gene, located on chromosome 17p, is affected in 60-75% of lung cancer including both NSCLC and SCLC while Rb is more likely inactivated in SCLC.","The <b>p53</b> tumor suppressor gene, located on chromosome 17p, is affected in 60-75% of lung cancer including both <b>NSCLC</b> and SCLC while Rb is more likely inactivated in SCLC."
27821,9eb6448e78c96c6cb8d5790569211d1a,40360735,TAT-CRE inhalation enables tumor induction corresponding to adenoviral Cre-recombinase in a lung cancer mouse model,Communications Biology,Communications Biology,2025,5.0,13.0,abstract,,Driver,0.919305250037492,DOID:3910,lung adenocarcinomas,lung adenocarcinoma,152,172,HGNC:11998,7157,Trp53,TP53,208,213,"In this context, we perform a comprehensive comparison between TAT-CRE (biosafety level S1) and adenoviral Cre-recombinase induced (biosafety level S2) lung adenocarcinomas driven by Kras G12D expression and Trp53 depletion.","In this context, we perform a comprehensive comparison between TAT-CRE (biosafety level S1) and adenoviral Cre-recombinase induced (biosafety level S2) <b>lung adenocarcinomas</b> driven by Kras G12D expression and <b>Trp53</b> depletion."
27822,9eb6448e78c96c6cb8d5790569211d1a,40360735,TAT-CRE inhalation enables tumor induction corresponding to adenoviral Cre-recombinase in a lung cancer mouse model,Communications Biology,Communications Biology,2025,5.0,13.0,article,discussion,Driver,0.9030424098452032,DOID:3910,lung adenocarcinomas,lung adenocarcinoma,128,148,HGNC:11998,7157,p53,TP53,195,198,"For this reason, we comprehensively compared GE-biosafety level S1 TAT-CRE and S2 adenoviral Cre-recombinase (AD-CRE) to induce lung adenocarcinomas driven by a Kras G12D mutation and functional p53 depletion.","For this reason, we comprehensively compared GE-biosafety level S1 TAT-CRE and S2 adenoviral Cre-recombinase (AD-CRE) to induce <b>lung adenocarcinomas</b> driven by a Kras G12D mutation and functional <b>p53</b> depletion."
27823,9eb6448e78c96c6cb8d5790569211d1a,40360735,TAT-CRE inhalation enables tumor induction corresponding to adenoviral Cre-recombinase in a lung cancer mouse model,Communications Biology,Communications Biology,2025,5.0,13.0,article,methods,Driver,0.8170902882431481,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,39,58,HGNC:11998,7157,Trp53,TP53,129,134,"(JAX stock #032435) was used to induce lung adenocarcinoma driven by a Cre-inducible conditional Kras G12D mutant and functional Trp53 knock out, as previously described and was kindly provided by H. C. Reinhardt (Department of Hematology and Stem Cell Transplantation, University Hospital Essen, Germany).","(JAX stock #032435) was used to induce <b>lung adenocarcinoma</b> driven by a Cre-inducible conditional Kras G12D mutant and functional <b>Trp53</b> knock out, as previously described and was kindly provided by H. C. Reinhardt (Department of Hematology and Stem Cell Transplantation, University Hospital Essen, Germany)."
28104,9eb6448e78c96c6cb8d5790569211d1a,40270498,Molecular signatures bidirectionally link myocardial infarction and lung cancer,Frontiers in Medicine,Frontiers in Medicine,2025,4.0,9.0,article,results,Driver,0.8567460165735779,DOID:3910,LUAD,lung adenocarcinoma,13,17,HGNC:11998,7157,TP53,TP53,242,246,"For example, LUAD is primarily driven by oncogenic mutations in genes, such as EGFR, KRAS, AL, BRAF, and MET, which are associated with the activation of MAPK, PI3K/AKT, and JAK/STAT signaling pathways, whereas LUSC is driven by mutations in TP53, NFE2L2, NOTCH1, and SOX2, affecting cell cycle regulators.","For example, <b>LUAD</b> is primarily driven by oncogenic mutations in genes, such as EGFR, KRAS, AL, BRAF, and MET, which are associated with the activation of MAPK, PI3K/AKT, and JAK/STAT signaling pathways, whereas LUSC is driven by mutations in <b>TP53</b>, NFE2L2, NOTCH1, and SOX2, affecting cell cycle regulators."
28337,8e390ed2997c32b925dba06cfbfc21cf,39128942,Current advance of nanotechnology in diagnosis and treatment for malignant tumors,Signal Transduction and Targeted Therapy,Signal Transduction and Targeted Therapy,2024,8.0,12.0,article,introduction,Tumor_Suppressor,0.9688293317964206,DOID:3908,NSCLC,lung non-small cell carcinoma,65,70,HGNC:11998,7157,P53,TP53,0,3,"P53, the tumor suppressor gene, is lacking or mutated in half of NSCLC cases.","<b>P53</b>, the tumor suppressor gene, is lacking or mutated in half of <b>NSCLC</b> cases."
28843,9eb6448e78c96c6cb8d5790569211d1a,38977778,Pan-cell death-related signature reveals tumor immune microenvironment and optimizes personalized therapy alternations in lung adenocarcinoma,Scientific Reports,Scientific Reports,2024,7.0,8.0,article,results,Driver,0.915440129044474,DOID:3910,LUAD,lung adenocarcinoma,65,69,HGNC:11998,7157,TP53,TP53,0,4,"TP53, KRAS, KEAP1, STK11 and EGFR are common driver mutations in LUAD.","<b>TP53</b>, KRAS, KEAP1, STK11 and EGFR are common driver mutations in <b>LUAD</b>."
28970,8e390ed2997c32b925dba06cfbfc21cf,38962310,Insights into the role of mitophagy in lung cancer: current evidence and perspectives,Frontiers in Pharmacology,Frontiers in Pharmacology,2024,6.0,19.0,article,introduction,Tumor_Suppressor,0.935930100809678,DOID:3908,NSCLC,lung non-small cell carcinoma,105,110,HGNC:11998,7157,TP53 gene,TP53,4,13,"The TP53 gene, prevalently mutated in cancer and recognized as a tumor suppressor, is mutated in half of NSCLC cases.","The <b>TP53 gene</b>, prevalently mutated in cancer and recognized as a tumor suppressor, is mutated in half of <b>NSCLC</b> cases."
29453,fab4a772f19b80537baf04062446f9e1,38835366,Biological functions and therapeutic potential of SRY related high mobility group box 5 in human cancer,Frontiers in Oncology,Frontiers in Oncology,2024,5.0,21.0,article,introduction,Oncogene,0.802024169085857,DOID:3908,NSCLC,lung non-small cell carcinoma,104,109,HGNC:11201,6660,SOX5,SOX5,33,37,"Many studies have suggested that SOX5, as an oncogene, is involved in the occurrence and development of NSCLC.","Many studies have suggested that <b>SOX5</b>, as an oncogene, is involved in the occurrence and development of <b>NSCLC</b>."
29482,67be1f611ae3e80440a8fbd853cb83ae,38775153,Blocking the angiopoietin-2-dependent integrin β -1 signaling axis abrogates small cell lung cancer invasion and metastasis,JCI Insight,JCI Insight,2024,5.0,22.0,article,discussion,Driver,0.8717524344994899,DOID:3908,NSCLC,lung non-small cell carcinoma,139,144,HGNC:11998,7157,TP53,TP53,184,188,"Martinez-Usatorre et al. applied a combined triple blockade targeting VEGF-A by B20 antibody, ANG-2 BI-836880 and PD-1 in an autochthonous NSCLC mouse model driven by mutated KRAS and TP53.","Martinez-Usatorre et al. applied a combined triple blockade targeting VEGF-A by B20 antibody, ANG-2 BI-836880 and PD-1 in an autochthonous <b>NSCLC</b> mouse model driven by mutated KRAS and <b>TP53</b>."
30251,9eb6448e78c96c6cb8d5790569211d1a,40090955,Ubiquinol-mediated suppression of mitochondria-associated ferroptosis is a targetable function of lactate dehydrogenase B in cancer,Nature Communications,Nature Communications,2025,3.0,16.0,article,results,Driver,0.9205533194060792,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,209,228,HGNC:11998,7157,p53,TP53,259,262,"To study the effect of LDHB in an immunocompetent and orthotopic setting, we used our established genetically engineered mouse model for NSCLC that combines an LDHB deletion allele with the inducible model of lung adenocarcinoma driven by concomitant loss of p53 (also known as Trp53) and expression of oncogenic KRAS (G12D) (KP).","To study the effect of LDHB in an immunocompetent and orthotopic setting, we used our established genetically engineered mouse model for NSCLC that combines an LDHB deletion allele with the inducible model of <b>lung adenocarcinoma</b> driven by concomitant loss of <b>p53</b> (also known as Trp53) and expression of oncogenic KRAS (G12D) (KP)."
30272,9eb6448e78c96c6cb8d5790569211d1a,40073141,Lipoylation inhibition enhances radiation control of lung cancer by suppressing homologous recombination DNA damage repair,Science Advances,Science Advances,2025,3.0,12.0,article,results,Driver,0.8398939136962966,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,45,64,HGNC:11998,7157,Tp53,TP53,104,108,"We next used KP9-3, a C57B/L6-derived murine lung adenocarcinoma cell line driven by oncogenic Kras and Tp53 loss, to test the radiosensitization strategy in a syngeneic model.","We next used KP9-3, a C57B/L6-derived murine <b>lung adenocarcinoma</b> cell line driven by oncogenic Kras and <b>Tp53</b> loss, to test the radiosensitization strategy in a syngeneic model."
30435,8e390ed2997c32b925dba06cfbfc21cf,40011914,Comprehensive genetic variant analysis reveals combination of KRAS and LRP1B as a predictive biomarker of response to immunotherapy in patients with non-small cell lung cancer,Journal of Experimental & Clinical Cancer Research : CR,Journal of Experimental & Clinical Cancer Research...,2025,2.0,27.0,article,discussion,Tumor_Suppressor,0.9791306256841782,DOID:3908,NSCLC,lung non-small cell carcinoma,94,99,HGNC:11998,7157,TP53,TP53,33,37,"KRAS is a well-known driver, and TP53 is the most common inactivated tumor suppressor gene in NSCLC, whereas LRP1B is a lesser-known tumor suppressor gene.","KRAS is a well-known driver, and <b>TP53</b> is the most common inactivated tumor suppressor gene in <b>NSCLC</b>, whereas LRP1B is a lesser-known tumor suppressor gene."
30675,04dfa692c4072abbf6fcb9516f58ed16,39886963,"The off-target effect of loratadine triggers autophagy-mediated apoptosis in lung adenocarcinoma cells by deactivating JNK, p38, and STAT3 signaling through both PP2A-dependent and independent pathways",International Journal of Molecular Medicine,International Journal of Molecular Medicine,2025,1.0,29.0,article,discussion,Tumor_Suppressor,0.9216175924771112,DOID:3910,LUAD,lung adenocarcinoma,92,96,HGNC:11998,7157,p53,TP53,17,20,"Mutations in the p53 tumor suppressor gene are among the most common genetic alterations in LUAD, occurring in 45-70% of cases.","Mutations in the <b>p53</b> tumor suppressor gene are among the most common genetic alterations in <b>LUAD</b>, occurring in 45-70% of cases."
31363,04dfa692c4072abbf6fcb9516f58ed16,39744012,PCAT19: the role in cancer pathogenesis and beyond,Frontiers in Cell and Developmental Biology,Frontiers in Cell and Developmental Biology,2024,12.0,18.0,article,introduction,Tumor_Suppressor,0.9905844323945484,DOID:3910,LUAD,lung adenocarcinoma,147,151,HGNC:11998,7157,p53,TP53,114,117,"Overall, PCAT19 demonstrates context-dependent roles in lung cancer, acting as an oncogene in NSCLC by inhibiting p53 and as a tumor suppressor in LUAD by acting as ceRNA dynamics.","Overall, PCAT19 demonstrates context-dependent roles in lung cancer, acting as an oncogene in NSCLC by inhibiting <b>p53</b> and as a tumor suppressor in <b>LUAD</b> by acting as ceRNA dynamics."
31836,9eb6448e78c96c6cb8d5790569211d1a,39406916,Developmental mosaicism underlying EGFR -mutant lung cancer presenting with multiple primary tumors,Nature Cancer,Nature Cancer,2024,10.0,15.0,article,results,Driver,0.8742839520345622,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,59,78,HGNC:11998,7157,TP53,TP53,111,115,"Individual tumors within these cases also developed common lung adenocarcinoma driver events, such as KRAS and TP53 mutations, in addition to the EGFR mutations, but these mutations were private to individual tumors (Supplementary Table 2).","Individual tumors within these cases also developed common <b>lung adenocarcinoma</b> driver events, such as KRAS and <b>TP53</b> mutations, in addition to the EGFR mutations, but these mutations were private to individual tumors (Supplementary Table 2)."
32254,9eb6448e78c96c6cb8d5790569211d1a,39419548,Direct visualization of emergent metastatic features within an ex vivo model of the tumor microenvironment,Life Science Alliance,Life Science Alliance,2024,10.0,17.0,article,results,Driver,0.9403580365070564,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,79,98,HGNC:11998,7157,TP53,TP53,131,135,"For example, spheroids formed by Lung KP cells (derived from a murine model of lung adenocarcinoma driven by KRAS G12D and loss of TP53 ) displayed a strong gradient of GFP that increased with the distance to the opening of the 3MIC (Fig S1C).","For example, spheroids formed by Lung KP cells (derived from a murine model of <b>lung adenocarcinoma</b> driven by KRAS G12D and loss of <b>TP53</b> ) displayed a strong gradient of GFP that increased with the distance to the opening of the 3MIC (Fig S1C)."
32333,04dfa692c4072abbf6fcb9516f58ed16,39391313,Cross-omics strategies and personalised options for lung cancer immunotherapy,Frontiers in Immunology,Frontiers in Immunology,2024,9.0,25.0,article,introduction,Tumor_Suppressor,0.9225867520587998,DOID:3910,LUAD,lung adenocarcinoma,96,100,HGNC:11998,7157,TP53,TP53,133,137,"Through combined whole exome sequencing (WES) technology, it was found that common mutations in LUAD include tumour suppressor genes TP53 (46%), STK11 (17%), KEAP1 (17%), NF1 (11%), RB1 (4%) and CDKN2A (4%), as well as chromatin modification genes SETD2 (9%), ARID1A (7%), SMARCA4 (6%) and RNA splicing genes RBM10 (8%) and U2AF1 (3%).","Through combined whole exome sequencing (WES) technology, it was found that common mutations in <b>LUAD</b> include tumour suppressor genes <b>TP53</b> (46%), STK11 (17%), KEAP1 (17%), NF1 (11%), RB1 (4%) and CDKN2A (4%), as well as chromatin modification genes SETD2 (9%), ARID1A (7%), SMARCA4 (6%) and RNA splicing genes RBM10 (8%) and U2AF1 (3%)."
32373,9eb6448e78c96c6cb8d5790569211d1a,38668053,"KRAS: Biology, Inhibition, and Mechanisms of Inhibitor Resistance",Current Oncology,Current Oncology,2024,4.0,3.0,article,introduction,Driver,0.9695889601846056,DOID:3910,lung adenocarcinomas,lung adenocarcinoma,51,71,HGNC:11998,7157,p53,TP53,98,101,The genetic deletion of CRAF in established murine lung adenocarcinomas driven by mutant KRAS and p53 does not halt tumor growth.,The genetic deletion of CRAF in established murine <b>lung adenocarcinomas</b> driven by mutant KRAS and <b>p53</b> does not halt tumor growth.
32455,920bee1be548a1382fbb721b2fc47b4a,39358651,"Tumor immunogenicity regulates host immune responses, and conventional dendritic cell type 2 uptakes the majority of tumor antigens in an orthotopic lung cancer model","Cancer Immunology, Immunotherapy : CII","Cancer Immunology, Immunotherapy : CII",2024,12.0,3.0,article,introduction,Oncogene,0.7843125818058458,DOID:3908,NSCLC,lung non-small cell carcinoma,145,150,HGNC:11998,7157,p53 (TP53),TP53,71,81,Kirsten rat sarcoma viral oncogene homolog (KRAS) and tumor suppressor p53 (TP53) genes are mutated at a high frequency in nonsmall lung cancer (NSCLC) patients.,Kirsten rat sarcoma viral oncogene homolog (KRAS) and tumor suppressor <b>p53 (TP53)</b> genes are mutated at a high frequency in nonsmall lung cancer (<b>NSCLC</b>) patients.
32630,920bee1be548a1382fbb721b2fc47b4a,39300939,Advances in early detection of non-small cell lung cancer: A comprehensive review,Cancer Medicine,Cancer Medicine,2024,9.0,20.0,article,discussion,Oncogene,0.874413695689459,DOID:3908,NSCLC,lung non-small cell carcinoma,322,327,HGNC:11998,7157,tumor protein p53 (TP53),TP53,52,76,"Kirsten rat sarcoma viral oncogene homolog (K-Ras), tumor protein p53 (TP53), MET, B-Raf proto-oncogene, serine/threonine kinase (BRAF), ERBB2, the anaplastic lymphoma kinase (ALK), ROS proto-oncogene 1 receptor tyrosine kinase (ROS), RET, and NTRK rearrangement are all driver gene alterations that have been detected in NSCLC patients.","Kirsten rat sarcoma viral oncogene homolog (K-Ras), <b>tumor protein p53 (TP53)</b>, MET, B-Raf proto-oncogene, serine/threonine kinase (BRAF), ERBB2, the anaplastic lymphoma kinase (ALK), ROS proto-oncogene 1 receptor tyrosine kinase (ROS), RET, and NTRK rearrangement are all driver gene alterations that have been detected in <b>NSCLC</b> patients."
32678,8e390ed2997c32b925dba06cfbfc21cf,39290250,Possible thoracic metastasis from squamous cell carcinoma of the external auditory canal: A case report,Clinical Case Reports,Clinical Case Reports,2024,9.0,16.0,article,discussion,Tumor_Suppressor,0.9448124651845308,DOID:3908,non-small cell lung cancer (NSCLC),lung non-small cell carcinoma,20,54,HGNC:11998,7157,p53,TP53,132,135,"Further, 40%-60% of non-small cell lung cancer (NSCLC) tumors are reportedly associated with mutations of the tumor suppressor gene p53, and these mutations are more common in tobacco-associated lung cancer than in lung cancer in never-smokers.","Further, 40%-60% of <b>non-small cell lung cancer (NSCLC)</b> tumors are reportedly associated with mutations of the tumor suppressor gene <b>p53</b>, and these mutations are more common in tobacco-associated lung cancer than in lung cancer in never-smokers."
